session_id,participant_id,block_order_position,total_block_count,trial_number,total_trial_count,hand_scale_factor,detect_radius,sphere_diameter,minimum_center_distance_multiplier,minimum_center_distance,target_distance_region,trial_start_time_s,trial_end_time_s,trial_duration_s,grab_attempt_count,target_grab_count,distractor_grab_count,empty_grab_count
"20260306_211202",1,7,9,1,27,0.5,0,0.01,1,0.01,"Near",4.6,7.2,2.6,1,1,0,0
"20260306_211202",1,7,9,2,27,0.5,0,0.01,1.25,0.0125,"Mid",7.457665,10.12,2.662335,2,1,0,1
"20260306_211202",1,7,9,3,27,0.5,0,0.01,1.5,0.015,"Far",10.38848,12.04,1.651525,1,1,0,0
"20260306_211202",1,7,9,4,27,0.5,0,0.02,1,0.02,"Far",12.29084,13.9,1.609164,1,1,0,0
"20260306_211202",1,7,9,5,27,0.5,0,0.02,1.25,0.025,"Near",14.16592,15.4,1.23408,1,1,0,0
"20260306_211202",1,7,9,6,27,0.5,0,0.02,1.5,0.03,"Far",15.66548,18.82,3.154523,3,1,0,2
"20260306_211202",1,7,9,7,27,0.5,0,0.03,1,0.03,"Mid",19.08218,20.22,1.137821,1,1,0,0
"20260306_211202",1,7,9,8,27,0.5,0,0.03,1.25,0.0375,"Mid",20.48487,21.92,1.435131,1,1,0,0
"20260306_211202",1,7,9,9,27,0.5,0,0.03,1.5,0.045,"Far",22.17966,25.14,2.960335,1,1,0,0
"20260306_211202",1,7,9,10,27,0.5,0,0.01,1,0.01,"Near",25.40206,29.1,3.697939,3,1,0,2
"20260306_211202",1,7,9,11,27,0.5,0,0.01,1.25,0.0125,"Mid",29.37361,30.84,1.466393,1,1,0,0
"20260306_211202",1,7,9,12,27,0.5,0,0.01,1.5,0.015,"Mid",31.09569,34.9,3.804304,4,1,0,3
"20260306_211202",1,7,9,13,27,0.5,0,0.02,1,0.02,"Far",35.16504,37.68,2.514957,2,1,0,1
"20260306_211202",1,7,9,14,27,0.5,0,0.02,1.25,0.025,"Near",37.94282,39.26,1.317181,1,1,0,0
"20260306_211202",1,7,9,15,27,0.5,0,0.02,1.5,0.03,"Mid",39.52596,41.7,2.174038,2,1,0,1
"20260306_211202",1,7,9,16,27,0.5,0,0.03,1,0.03,"Near",41.95667,44,2.043331,2,1,0,1
"20260306_211202",1,7,9,17,27,0.5,0,0.03,1.25,0.0375,"Mid",44.27569,45.46,1.184307,1,1,0,0
"20260306_211202",1,7,9,18,27,0.5,0,0.03,1.5,0.045,"Near",45.71995,46.76,1.040051,1,1,0,0
"20260306_211202",1,7,9,19,27,0.5,0,0.01,1,0.01,"Mid",47.02551,57.6,10.57449,7,1,1,5
"20260306_211202",1,7,9,20,27,0.5,0,0.01,1.25,0.0125,"Near",57.87228,60.76,2.887714,2,1,0,1
"20260306_211202",1,7,9,21,27,0.5,0,0.01,1.5,0.015,"Far",61.02511,65.18,4.154888,4,1,0,3
"20260306_211202",1,7,9,22,27,0.5,0,0.02,1,0.02,"Far",65.45578,68.76,3.304222,1,1,0,0
"20260306_211202",1,7,9,23,27,0.5,0,0.02,1.25,0.025,"Mid",69.02441,70.34,1.31559,1,1,0,0
"20260306_211202",1,7,9,24,27,0.5,0,0.02,1.5,0.03,"Far",70.59421,72.06,1.46579,1,1,0,0
"20260306_211202",1,7,9,25,27,0.5,0,0.03,1,0.03,"Mid",72.32967,73.48,1.15033,1,1,0,0
"20260306_211202",1,7,9,26,27,0.5,0,0.03,1.25,0.0375,"Far",73.74632,75.3,1.553673,1,1,0,0
"20260306_211202",1,7,9,27,27,0.5,0,0.03,1.5,0.045,"Near",75.56572,76.66,1.094276,1,1,0,0
